foot_contact_forces
"charlotte-sim repo hash: 46395edc6d0c8927cf8d5f1aabf662f39d634e6d WARNING: charlotte-sim git repo was NOT clean, it may have changes not captured as of this hash!"
charlotte-description repo hash: 58b78b6450979467e648200be8d12d1950012a35
Units: N
Time,MR_Fx,MR_Fy,MR_Fz,BR_Fx,BR_Fy,BR_Fz,FL_Fx,FL_Fy,FL_Fz,ML_Fx,ML_Fy,ML_Fz,BL_Fx,BL_Fy,BL_Fz,FR_Fx,FR_Fy,FR_Fz
9.56,8.6449890157274,-0.8430833550152551,-374.2039915747686,1.4930060906394576,-1.0104401819499054,-213.79140378819974,-10.627189166071703,4.923894494596001,-460.65803126734056,nan,nan,nan,-1.787764814148696,0.025679800697315756,-165.7718170818088,nan,nan,nan
9.561,8.644935380772202,-0.8516051529829999,-374.2661282957985,1.4857846761643463,-1.0120143315948402,-213.72984215800852,-10.63386398724902,4.923089521837522,-460.76740612795396,nan,nan,nan,-1.7859474966693838,0.025159807481414505,-165.6722709206633,nan,nan,nan
9.562,8.644851784525578,-0.8602573472123056,-374.3283208310646,1.4787996829418564,-1.013644896507076,-213.66829524135522,-10.640552884709813,4.922302618512284,-460.8766452217471,nan,nan,nan,-1.7841232274230283,0.024626357565491187,-165.57275957068072,nan,nan,nan
9.5625,8.644737873149802,-0.8690398382012947,-374.3905667351653,1.472053928217482,-1.0153317672596396,-213.6067599477099,-10.647255860921598,4.921533953820101,-460.9857459455161,nan,nan,nan,-1.7822920581270767,0.024079600661092104,-165.47328177173915,nan,nan,nan
9.563,8.644737873149802,-0.8690398382012947,-374.3905667351653,1.472053928217482,-1.0153317672596396,-213.6067599477099,-10.647255860921598,4.921533953820101,-460.9857459455161,nan,nan,nan,-1.7822920581270767,0.024079600661092104,-165.47328177173915,nan,nan,nan
9.564,8.644593304358526,-0.877952495892067,-374.4528636796178,1.4655501237585455,-1.0170748218309034,-213.54523328781576,-10.653972923168784,4.92078367873555,-461.09470592144436,nan,nan,nan,-1.780454039960544,0.023519683728213128,-165.3738363386799,nan,nan,nan
9.565,8.64441774712254,-0.8869951597883894,-374.5152094428545,1.4592908713371577,-1.018873925385122,-213.4837123667743,-10.660704083364216,4.920051925394393,-461.20352298569344,nan,nan,nan,-1.7786092236886706,0.02294675093492583,-165.27442215785692,nan,nan,nan
9.566,8.644210881405007,-0.8961676390916269,-374.5776019010582,1.4532786591300768,-1.0207289303960967,-213.42219437800208,-10.667449357555764,4.9193388076809486,-461.31219517697883,nan,nan,nan,-1.77675765949837,0.02236094384154831,-165.17503818368343,nan,nan,nan
9.567,8.64397239785299,-0.9054697128803061,-374.640039020313,1.4475158582521745,-1.022639676505939,-213.3606765976623,-10.67420876567485,4.918644421070292,-461.42072072628275,nan,nan,nan,-1.7748993969218665,0.021762401150109526,-165.07568343564145,nan,nan,nan
9.568,8.643701997619349,-0.9149011302849658,-374.7025188486322,1.4420047197861527,-1.0246059907316096,-213.29915637983996,-10.680982331215384,4.917968842505265,-461.52909804761305,nan,nan,nan,-1.7730344849741577,0.021151258866863587,-164.97635699536312,nan,nan,nan
